Latitude;Longitude;Altitude;Date
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:15:52.409Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:02.569Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:07.803Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:13.601Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:14.391Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:24.521Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:29.744Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:35.588Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:41.380Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:42.383Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:52.489Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:16:58.281Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:17:04.085Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:17:09.913Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:17:10.697Z
37.1389129;-8.5279897;81.0999984741211;2023-03-13 18:17:20.769Z
37.1389129;-8.5279897;81.0999984741211;2023-03-13 18:17:27.519Z
37.1389129;-8.5279897;81.0999984741211;2023-03-13 18:17:33.660Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:17:39.540Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:17:40.422Z
37.1483792;-8.5396588;81.0999984741211;2023-03-13 18:17:50.487Z
37.1486257;-8.5395761;81.0999984741211;2023-03-13 18:17:56.680Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:02.634Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:08.564Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:09.451Z
37.1418892;-8.5592427;81.0999984741211;2023-03-13 18:18:19.514Z
